# Constructed from biom file
#OTU ID	B1-100-1	B1-100-2	B1-100-24HR-D10	B1-100-24HR-D14	B1-100-24HR-D21	B1-100-24HR-D5	B1-100-3	B1-50-1	B1-50-2	B1-50-24HR-D10	B1-50-24HR-D14	B1-50-24HR-D21	B1-50-24HR-D5	B1-80-1	B1-80-2	B1-80-3	B1-85-1	B1-85-2	B1-85-3	B1-90-1	B1-90-2	B1-90-3	B2-100-1	B2-100-2	B2-100-24HR-D10	B2-100-24HR-D14	B2-100-24HR-D21	B2-100-3	B2-50-1	B2-50-2	B2-50-24HR-D10	B2-50-24HR-D14	B2-50-24HR-D21	B2-50-24HR-D5	B2-50-3	B2-80-1	B2-80-2	B2-80-3	B2-85-1	B2-85-2	B2-85-3	B2-90-1	B2-90-2	B2-90-3	B3-100-1	B3-100-2	B3-100-24HR-D10	B3-100-24HR-D14	B3-100-24HR-D21	B3-100-24HR-D5	B3-100-3	B3-50-1	B3-50-2	B3-50-24HR-D10	B3-50-24HR-D14	B3-50-24HR-D21	B3-50-24HR-D5	B3-50-3	B3-80-1	B3-80-2	B3-80-3	B3-85-1	B3-85-2	B3-85-3	B3-90-1	B3-90-2	B3-90-3	B4-100-1	B4-100-2	B4-100-24HR-D10	B4-100-24HR-D14	B4-100-24HR-D21	B4-100-24HR-D5	B4-100-3	B4-50-1	B4-50-2	B4-50-24HR-D10	B4-50-24HR-D14	B4-50-24HR-D21	B4-50-24HR-D5	B4-50-3	B4-80-1	B4-80-2	B4-80-3	B4-85-1	B4-85-2	B4-85-3	B4-90-1	B4-90-2	B4-90-3
7ff153e9c004926a43dcecefc51cd5d2	0.0	59.0	65.0	0.0	55.0	0.0	0.0	176.0	172.0	174.0	200.0	148.0	69.0	162.0	132.0	138.0	241.0	0.0	133.0	0.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.0	76.0	410.0	51.0	107.0	349.0	170.0	144.0	229.0	70.0	154.0	35.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	131.0	143.0	153.0	176.0	108.0	87.0	93.0	99.0	106.0	168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	69.0	48.0	38.0	74.0	147.0	114.0	79.0	110.0	60.0	175.0	108.0	140.0	92.0	0.0	0.0	0.0	0.0	0.0	52.0
4e4c5cd13eb19d445bd2ee4bd71a7053	0.0	51.0	35.0	0.0	0.0	0.0	0.0	205.0	136.0	205.0	205.0	140.0	52.0	155.0	130.0	108.0	271.0	0.0	135.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.0	72.0	402.0	42.0	124.0	380.0	141.0	159.0	236.0	74.0	151.0	31.0	105.0	0.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	147.0	159.0	135.0	148.0	88.0	109.0	76.0	103.0	120.0	171.0	0.0	0.0	0.0	129.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	46.0	76.0	136.0	112.0	79.0	80.0	79.0	184.0	92.0	155.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0
426e95e4e41aa0a7c290b9bc0889754f	0.0	58.0	62.0	0.0	0.0	0.0	0.0	193.0	132.0	199.0	154.0	143.0	38.0	136.0	124.0	104.0	238.0	91.0	113.0	0.0	0.0	131.0	47.0	0.0	0.0	0.0	0.0	0.0	124.0	75.0	327.0	42.0	106.0	323.0	140.0	132.0	167.0	77.0	118.0	62.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	128.0	130.0	166.0	136.0	81.0	77.0	61.0	78.0	126.0	141.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	49.0	83.0	134.0	115.0	75.0	104.0	62.0	148.0	98.0	153.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0
0354abc1d57ca53521d0899c74a5821a	0.0	43.0	0.0	0.0	0.0	0.0	0.0	212.0	133.0	167.0	141.0	129.0	47.0	158.0	117.0	118.0	280.0	0.0	139.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	107.0	76.0	412.0	39.0	110.0	308.0	151.0	129.0	190.0	70.0	117.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	34.0	0.0	109.0	149.0	132.0	147.0	96.0	76.0	74.0	85.0	124.0	138.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	34.0	65.0	103.0	113.0	57.0	99.0	63.0	126.0	90.0	118.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0
5a121b7460f54963f16663670765fc00	0.0	56.0	28.0	0.0	0.0	0.0	0.0	155.0	164.0	169.0	178.0	125.0	68.0	141.0	125.0	123.0	201.0	0.0	111.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	87.0	326.0	61.0	74.0	331.0	157.0	138.0	223.0	62.0	122.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	112.0	114.0	139.0	150.0	80.0	84.0	72.0	80.0	107.0	126.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	43.0	43.0	90.0	104.0	102.0	72.0	85.0	71.0	142.0	100.0	141.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0
46996a1d39893c2afb2be13f14d956fd	0.0	53.0	32.0	56.0	0.0	0.0	0.0	145.0	128.0	113.0	141.0	115.0	44.0	124.0	103.0	97.0	267.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	44.0	320.0	48.0	91.0	268.0	122.0	128.0	178.0	48.0	112.0	28.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	125.0	137.0	105.0	118.0	87.0	87.0	71.0	66.0	110.0	149.0	0.0	0.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	40.0	82.0	97.0	95.0	66.0	77.0	62.0	164.0	106.0	132.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0
d5277ca5f2864873e4c600d56207c983	0.0	50.0	47.0	0.0	66.0	0.0	0.0	141.0	121.0	137.0	174.0	115.0	40.0	107.0	108.0	93.0	236.0	0.0	122.0	0.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	52.0	294.0	38.0	64.0	300.0	124.0	144.0	192.0	62.0	74.0	33.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	111.0	131.0	103.0	140.0	99.0	86.0	70.0	56.0	109.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	59.0	39.0	25.0	85.0	108.0	113.0	72.0	86.0	61.0	119.0	104.0	116.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0
a2f6a06a0a4b6b1d0e3d3108077e8bf2	0.0	40.0	18.0	0.0	0.0	0.0	0.0	140.0	128.0	131.0	165.0	113.0	42.0	122.0	93.0	87.0	184.0	0.0	103.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.0	54.0	307.0	63.0	111.0	311.0	145.0	132.0	217.0	58.0	121.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	133.0	103.0	98.0	125.0	88.0	64.0	54.0	75.0	96.0	110.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	38.0	31.0	56.0	90.0	91.0	65.0	74.0	78.0	151.0	69.0	137.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0
cf2f0c6c16ec9cb2c26eec24ab47c09d	0.0	46.0	23.0	0.0	0.0	0.0	0.0	179.0	117.0	150.0	144.0	120.0	36.0	135.0	91.0	88.0	225.0	0.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	53.0	273.0	33.0	80.0	263.0	144.0	122.0	200.0	49.0	101.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	106.0	104.0	99.0	129.0	67.0	68.0	47.0	64.0	87.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	32.0	34.0	79.0	91.0	92.0	72.0	53.0	60.0	138.0	70.0	111.0	52.0	0.0	0.0	0.0	72.0	0.0	0.0
19a9b3274e3ad04439ec739f11ef9daa	0.0	43.0	25.0	0.0	0.0	0.0	36.0	143.0	105.0	123.0	148.0	96.0	39.0	103.0	90.0	107.0	199.0	26.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	59.0	249.0	32.0	67.0	285.0	139.0	128.0	179.0	47.0	101.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	106.0	108.0	115.0	133.0	79.0	86.0	51.0	59.0	93.0	115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	48.0	59.0	94.0	78.0	63.0	64.0	63.0	135.0	69.0	111.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0
