sample-id	treatment	relative_humidity	Unit	material_type	Protocol REF	time	Unit_1	time_of_wetness	Unit_2	Sample_Storage_Temperature	Unit_3	humidity_bin
B1-100-24HR-D21	Varying Relative Humidity	100	percent	Dust	sample collection	21	day	24	Hour per Day	-20	degree Celsius	High
B1-50-24HR-D5	Varying Relative Humidity	50	percent	Dust	sample collection	5	day	24	Hour per Day	-20	degree Celsius	Low
B2-50-24HR-D5	Varying Relative Humidity	50	percent	Dust	sample collection	5	day	24	Hour per Day	-20	degree Celsius	Low
B3-50-24HR-D5	Varying Relative Humidity	50	percent	Dust	sample collection	5	day	24	Hour per Day	-20	degree Celsius	Low
B4-50-24HR-D5	Varying Relative Humidity	50	percent	Dust	sample collection	5	day	24	Hour per Day	-20	degree Celsius	Low
B1-50-24HR-D10	Varying Relative Humidity	50	percent	Dust	sample collection	10	day	24	Hour per Day	-20	degree Celsius	Low
B2-50-24HR-D10	Varying Relative Humidity	50	percent	Dust	sample collection	10	day	24	Hour per Day	-20	degree Celsius	Low
B3-50-24HR-D10	Varying Relative Humidity	50	percent	Dust	sample collection	10	day	24	Hour per Day	-20	degree Celsius	Low
B4-50-24HR-D10	Varying Relative Humidity	50	percent	Dust	sample collection	10	day	24	Hour per Day	-20	degree Celsius	Low
B1-100-24HR-D5	Varying Relative Humidity	100	percent	Dust	sample collection	5	day	24	Hour per Day	-20	degree Celsius	High
B2-100-24HR-D10	Varying Relative Humidity	100	percent	Dust	sample collection	10	day	24	Hour per Day	-20	degree Celsius	High
B1-50-24HR-D14	Varying Relative Humidity	50	percent	Dust	sample collection	14	day	24	Hour per Day	-20	degree Celsius	Low
B2-50-24HR-D14	Varying Relative Humidity	50	percent	Dust	sample collection	14	day	24	Hour per Day	-20	degree Celsius	Low
B3-50-24HR-D14	Varying Relative Humidity	50	percent	Dust	sample collection	14	day	24	Hour per Day	-20	degree Celsius	Low
B4-50-24HR-D14	Varying Relative Humidity	50	percent	Dust	sample collection	14	day	24	Hour per Day	-20	degree Celsius	Low
B1-100-24HR-D10	Varying Relative Humidity	100	percent	Dust	sample collection	10	day	24	Hour per Day	-20	degree Celsius	High
B2-100-24HR-D14	Varying Relative Humidity	100	percent	Dust	sample collection	14	day	24	Hour per Day	-20	degree Celsius	High
B1-100-24HR-D14	Varying Relative Humidity	100	percent	Dust	sample collection	14	day	24	Hour per Day	-20	degree Celsius	High
B2-100-24HR-D21	Varying Relative Humidity	100	percent	Dust	sample collection	21	day	24	Hour per Day	-20	degree Celsius	High
B1-50-24HR-D21	Varying Relative Humidity	50	percent	Dust	sample collection	21	day	24	Hour per Day	-20	degree Celsius	Low
B2-50-24HR-D21	Varying Relative Humidity	50	percent	Dust	sample collection	21	day	24	Hour per Day	-20	degree Celsius	Low
B3-50-24HR-D21	Varying Relative Humidity	50	percent	Dust	sample collection	21	day	24	Hour per Day	-20	degree Celsius	Low
B4-50-24HR-D21	Varying Relative Humidity	50	percent	Dust	sample collection	21	day	24	Hour per Day	-20	degree Celsius	Low
B3-100-24HR-D5	Varying Relative Humidity	100	percent	Dust	sample collection	5	day	24	Hour per Day	-20	degree Celsius	High
B3-100-24HR-D10	Varying Relative Humidity	100	percent	Dust	sample collection	10	day	24	Hour per Day	-20	degree Celsius	High
B4-100-24HR-D10	Varying Relative Humidity	100	percent	Dust	sample collection	10	day	24	Hour per Day	-20	degree Celsius	High
B3-100-24HR-D14	Varying Relative Humidity	100	percent	Dust	sample collection	14	day	24	Hour per Day	-20	degree Celsius	High
B4-100-24HR-D14	Varying Relative Humidity	100	percent	Dust	sample collection	14	day	24	Hour per Day	-20	degree Celsius	High
B3-100-24HR-D21	Varying Relative Humidity	100	percent	Dust	sample collection	21	day	24	Hour per Day	-20	degree Celsius	High
B4-100-24HR-D21	Varying Relative Humidity	100	percent	Dust	sample collection	21	day	24	Hour per Day	-20	degree Celsius	High
B4-100-24HR-D5	Varying Relative Humidity	100	percent	Dust	sample collection	5	day	24	Hour per Day	-20	degree Celsius	High
B2-50-1	Constant Relative Humidity	50	No Relative Humidity Exposure	Dust	sample collection	NA	Not Applicable	NA	Not Applicable	-20	degree Celsius	Low
B3-50-2	Constant Relative Humidity	50	No Relative Humidity Exposure	Dust	sample collection	NA	Not Applicable	NA	Not Applicable	-20	degree Celsius	Low
